villageId,census_eth,census_rlg,census_employ,census_noAgri,census_poverty,census_pop,ocensus_eth,ocensus_edu,ocensus_employ,ocensus_noAgri,ocensus_messagesPer100,ocensus_cluster,ocensus_nCommercial,ocensus_pop,pg_pg,pg_elec,pg_roadtype,pg_nursery,pg_govprim,pg_govhealth,pg_watersource,pg_toilets,pg_lg,pg_savingsgroup,pg_farmersgroup,pg_center,pg_biergarten,pg_market,pg_market_crops,pg_field,pg_dryspace,pg_instruments,pg_bicycle,pg_church,pg_mtn,pg_orange,pg_airtel,elections_turnoutRegistered,elections_turnoutAdultPop,elections_winShare,distArua,distHealth,distSchool,design_ctyMeet,design_diagMeet
24,0.06920081377029419,0.29339611530303955,0.929961085319519,0.06694560497999191,-0.38888785243034363,237,0.014108896255493164,0.3439490497112274,0.3776223659515381,0.04716981202363968,6.4285712242126465,GBULUKUATUANI,0.5,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32804.186989149995,1914.5133474650002,4216.4170212,1,0
1,0.11485457420349121,0.47332894802093506,0.9860627055168152,0.23321554064750671,-0.1019245907664299,530,0.06348299980163574,0.24354243278503418,0.44117647409439087,0.095238097012043,13.50210952758789,AKINO,1,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52679.374043,0,1678.50399717,1,1
20,0.6128065586090088,0.5583113431930542,0.5302013158798218,0.9329113960266113,0.638200044631958,1313,0.3262711763381958,0.6441647410392761,0.4768976867198944,0.9453924894332886,12.256267547607422,EDIOFE,0,718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1181.88952415,552.726169405,794.418989469,0,0
11,0.40600836277008057,0.4048185348510742,0.9375,0.5666666626930237,0.4680793285369873,31,0,0.6578947305679321,0.6785714030265808,0.9473684430122375,87.5,AROI,0,32,1.2322521209716797,1,0,1,1,0,2,22,-0.06599727272987366,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0.14115837216377258,0.20732636749744415,0.7523700861780755,10170.083672,628.778495447,201.504517534,1,0
3,0.048494815826416016,0.28062599897384644,0.9250936508178711,0.2267206460237503,0.02304868772625923,253,0.05557435750961304,0.36986300349235535,0.39819005131721497,0.13291139900684357,35.05976104736328,ANYIRIBU,1,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53488.7543736,851.70377821,1631.35980902,1,0
82,0.02097553014755249,0.34865427017211914,0.8601252436637878,0.6626213788986206,0.19886307418346405,429,0.03537529706954956,0.42274051904678345,0.2734375,0.1946902722120285,20.67796516418457,VURRA,0,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12530.9249026,0,526.145820562,1,1
75,0.005904078483581543,0.3280172348022461,0.8974359035491943,0.18412698805332184,0.07481175661087036,315,0.0045146942138671875,0.27272728085517883,0.3179190754890442,0.12280701845884323,26.53061294555664,ST. LUKE,0,196,-0.0543668307363987,1,1,0,0,0,1,0,-0.3597767949104309,3,4,0,0,0,0,0,1,1,0,1,1,1,1,0.36706870794296265,0.3117007911205292,0.5858201866090351,35841.6959822,1028.42389927,2863.18539174,0,0
71,0.0033501386642456055,0.1998840570449829,0.931506872177124,0.05514705926179886,-0.08469898998737335,276,0,0.4545454680919647,0.125827819108963,0.8387096524238586,34.33734893798828,ST. FRANCIS,0,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17130.5529847,494.504618114,1222.29673643,1,0
42,0.004282653331756592,0.5448617935180664,0.991304337978363,0.29385966062545776,-0.32477810978889465,205,0.4578651189804077,0.5304659605026245,0.3876543343067169,0.36548224091529846,8.119658470153809,ODUBU,4,468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53581.4963396,3458.98296218,3813.39513984,0,0
7,0.01121455430984497,0.49067217111587524,0.9233576655387878,0.4466403126716614,0.2188597470521927,266,0.004739344120025635,0.33796295523643494,0.20588235557079315,0.4523809552192688,0.5235602259635925,AROI,0,191,-0.061343204230070114,0,1,0,1,0,3,12,0.060644444078207016,1,2,0,0,1,0,1,2,0,0,2,1,1,1,0.1811586320400238,0.14382527768611908,0.8060976426293242,8940.88989949,1215.20301154,243.334366099,0,0
6,0.005559384822845459,0.5041744112968445,0.3658119738101959,0.5903614163398743,-0.12359794974327087,664,0,0.4548611044883728,0.3558558523654938,0.31578946113586426,8.467741966247559,AROI,0,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8295.52041909,913.99754383,1160.88368008,0,0
59,0,0.06823736429214478,0.970588207244873,0.21212121844291687,-0.16136130690574646,286,0.007471919059753418,0.4898550808429718,0.3576158881187439,0.17763157188892365,8.090615272521973,OTUMBARI,0,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21530.8030914,0,850.028168695,1,1
37,0.0061776041984558105,0.5212596654891968,0.9879153966903687,0.012232416309416294,-0.3393576443195343,302,0.006896495819091797,0.4206896424293518,0.016806723549962044,0.3333333432674408,13.28125,NICU,0,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27401.5305571,2329.63135769,2862.27137988,1,0
73,0.013628184795379639,0.3203931450843811,0.9064748287200928,0.3650793731212616,-0.18723469972610474,128,0,0.34112149477005005,0.10169491171836853,0.03030303120613098,17.94871711730957,ST. LUKE,0,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35809.624002,1112.23616347,2233.87769948,0,0
50,0.0096968412399292,0.0240822434425354,0.7897436022758484,0,-0.03440886735916138,183,0.005681753158569336,0.3863636255264282,0.4198473393917084,0.4590163826942444,0.6622516512870789,OMBINDRIONDRIA,0,151,-0.17607827484607697,0,NA,0,0,0,0,0,-0.41904833912849426,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0.30761998891830444,0.30451270937919617,0.6935398413641458,8919.17254067,307.340485774,809.154980378,1,0
34,0.010922133922576904,0.217065691947937,0.8978873491287231,0.0784313753247261,-0.388353556394577,269,0.012677967548370361,0.4470588266849518,0.38805970549583435,0.08196721225976944,13.01369857788086,NICU,0,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23882.263438,0,2463.58688186,1,1
38,0.0039215087890625,0.05375152826309204,0.737827718257904,0.20812182128429413,-0.06462112814188004,252,0.006024003028869629,0.45505619049072266,0.1568627506494522,0.5,12.883435249328613,ODRAKA,0,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33891.284568,2187.69278929,763.929372343,1,0
67,0.03500664234161377,0.16523414850234985,0.8547717928886414,0.3883495032787323,0.23880620300769806,231,0.4524375796318054,0.4118589758872986,0.20593367516994476,0.30201342701911926,0.38684719800949097,SIRIPI,1,517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48307.9919401,0,4279.31321848,1,1
72,0.011962413787841797,0.4300832748413086,0.8776758313179016,0.2787456512451172,-0.16931092739105225,300,0.029221057891845703,0.26485148072242737,0.41433021426200867,0.13131313025951385,5.128205299377441,ST. LUKE,0,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36503.5706134,3219.61398075,1281.61849856,0,0
36,0,0.37446653842926025,0.8148148059844971,0.09740259498357773,-0.21616481244564056,180,0.05062568187713623,0.3175675570964813,0.04918032884597778,0.6666666865348816,7.2580647468566895,NICU,1,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25640.1315139,461.205389454,681.851461125,1,0
35,0,0.3829173445701599,0.7982954382896423,0.3629893362522125,-0.34494608640670776,317,0.004629552364349365,0.3578431308269501,0.3076923191547394,0.34328359365463257,5.4347825050354,NICU,0,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22186.7125246,1153.53383076,785.775986284,1,0
76,0.035497844219207764,0.4515042304992676,0.9823529124259949,0.28143712878227234,0.08749999105930328,159,0.07949990034103394,0.43609023094177246,0.1782178282737732,0.8333333134651184,20.3389835357666,ST. LUKE,0,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33927.9189513,0,399.972265422,1,1
27,0.022418677806854248,0.08752262592315674,0.7155555486679077,0.059006210416555405,-0.16866393387317657,417,0.14689099788665771,0.5099160671234131,0.34315037727355957,0.09705648571252823,0.8204632997512817,IMVEPI,0,2072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51567.0881869,0,537.240773275,1,1
5,0,0.032383739948272705,0.7684210538864136,0.10958904027938843,0.10538804531097412,182,0.3958396315574646,0.2949061691761017,0.442176878452301,0.07473309338092804,4.716980934143066,ANYIRIBU,0,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55718.5409657,0,1695.46703845,1,1
80,0.0070726871490478516,0.5170905590057373,0.678657054901123,0.15547703206539154,-0.14966782927513123,385,0,0.3785046637058258,0.08124999701976776,0.7692307829856873,53.93258285522461,TUKU,0,178,0.7447781562805176,0,0,1,1,0,2,13,0.8288990259170532,3,0,0,1,1,0,1,1,0,5,2,1,1,1,0.4568343758583069,0.3269187808036804,0.4706334957727578,16332.0928894,258.352022787,372.44187801099997,0,0
83,0.004683792591094971,0.018603086471557617,0.879807710647583,0.44262295961380005,0.17569632828235626,189,0,0.4189944267272949,0.5572519302368164,0.28455284237861633,6.666666507720947,VURRA,1,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10651.7736973,2403.52695152,529.897290837,1,0
60,0,0.17834824323654175,0.9933775067329407,0.2666666805744171,-0.46021026372909546,414,0.0023865699768066406,0.3196544349193573,0.07343412190675735,1,2.4570024013519287,OTUMBARI,0,407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23443.4511422,927.961439523,2607.45479422,1,0
2,0,0.3017461895942688,0.9064327478408813,0.025806451216340065,-0.2734954059123993,159,0.05731993913650513,0.33986929059028625,0.5073529481887817,0.0703125,21.481481552124023,ANYIRIBU,0,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53710.4277438,3317.91721287,3592.82795893,0,0
51,0.003976166248321533,0.1668306589126587,0.8622047305107117,0.13242009282112122,-0.1506982445716858,233,0,0.40566039085388184,0.3016759753227234,0.06557376682758331,1.1111111640930176,OMBINDRIONDRIA,0,180,-0.3527856469154358,0,1,0,0,0,1,0,-0.32053104043006897,1,2,0,0,0,0,0,2,1,2,0,1,1,1,0.31474417448043823,0.26960644125938416,0.6863203664173532,9426.2796653,280.466299681,1027.96571513,0,0
43,0.006354272365570068,0.11438602209091187,0.6423841118812561,0.2525773048400879,-0.1060047298669815,272,0.004987478256225586,0.49189189076423645,0.190476194024086,0.75,30.128204345703125,OJE,0,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12483.7912697,0,820.9545235,1,1
23,0.018726050853729248,0.34308290481567383,0.6557971239089966,0.07182320207357407,-0.29224878549575806,261,0.007325887680053711,0.5300546288490295,0.4810126721858978,0.027027027681469917,7.317073345184326,GBULUKUATUANI,0,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33072.2455479,0,4984.63565944,1,1
